session,judge,candidate_chosen,candidate_not_chosen
2,55,RC,Mexican Coke
2,55,Pepsi Real Sugar,RC
2,56,Sams,Pepsi Real Sugar
2,56,Sams,Mexican Coke
2,56,Pepsi,RC
2,56,Pepsi Real Sugar,RC
2,56,Sams,RC
2,57,Pepsi,Pepsi Real Sugar
2,57,Pepsi Real Sugar,Sams
2,57,RC,Sams
2,57,Pepsi,Mexican Coke
2,57,RC,Mexican Coke
2,58,Pepsi,RC
2,58,RC,Pepsi Real Sugar
2,58,Sams,RC
2,58,Mexican Coke,Pepsi Real Sugar
2,58,Sams,Mexican Coke
2,59,Pepsi Real Sugar,Sams
2,59,Mexican Coke,Sams
2,59,Pepsi Real Sugar,Mexican Coke
2,59,RC,Coca Cola
